x1,y1,T
0.00350,0.02050,50.60
0.00450,0.02750,50.30
0.01750,0.13150,48.10
0.05850,0.30500,45.10
0.06800,0.36150,43.10
0.09350,0.41100,41.70
0.16500,0.52000,40.50
0.21250,0.54550,40.00
0.24100,0.56750,39.30
0.36150,0.60600,37.50
0.47400,0.65050,35.90
0.49850,0.65550,36.20
0.58150,0.69700,37.20
0.64600,0.72900,36.50
0.65400,0.73100,36.00
0.72300,0.77600,34.60
0.79000,0.82000,37.30
0.83700,0.85200,36.20
0.87310,0.88170,36.70
0.88300,0.88850,36.30
0.88800,0.89300,36.00
0.89730,0.90120,37.00
0.94890,0.95020,36.30
0.97070,0.97150,37.40
0.98250,0.98350,35.40
